I,II,V1,V2,V3,V4,V5,V6,status,x
-3,2,1,0,0,-1,1,-5,0,451
-2,2,1,0,0,0,1,-5,0,452
-2,2,1,0,0,0,1,-5,0,453
-2,2,1,0,0,0,2,-5,0,454
-2,2,1,0,0,0,2,-5,0,455
-2,2,1,1,0,0,2,-5,0,456
-2,3,1,1,0,0,2,-5,0,457
-2,3,1,1,0,0,2,-5,0,458
-2,3,1,1,0,0,2,-5,0,459
-2,3,1,1,0,0,2,-5,0,460
-2,3,1,1,0,0,2,-4,0,461
-2,3,1,1,0,0,2,-4,0,462
-2,3,1,1,0,0,2,-4,0,463
-2,3,1,1,0,0,2,-4,0,464
-2,3,1,1,0,0,2,-4,0,465
-2,3,1,1,0,0,2,-4,0,466
-2,3,1,1,0,0,2,-4,0,467
-2,3,1,1,0,1,2,-4,0,468
-2,3,1,1,0,1,2,-4,0,469
-2,3,1,1,0,1,2,-4,0,470
-2,3,1,1,0,1,2,-4,0,471
-2,3,1,1,0,1,2,-4,0,472
-2,3,1,1,0,1,2,-3,0,473
-2,3,1,1,0,1,3,-3,0,474
-2,3,2,1,0,1,3,-3,0,475
-2,3,2,1,0,1,3,-3,0,476
-2,3,2,1,0,1,3,-3,0,477
-2,3,2,1,1,2,3,-3,0,478
-2,3,2,1,1,2,3,-3,0,479
-2,3,2,2,1,2,3,-3,0,480
-1,3,2,2,1,2,4,-3,0,481
-1,3,2,2,1,2,4,-3,0,482
-1,3,2,2,1,2,4,-3,0,483
-1,3,2,2,1,2,4,-3,0,484
-1,3,2,2,1,2,4,-3,0,485
-1,4,2,2,1,2,4,-3,0,486
-1,4,2,2,2,2,4,-3,0,487
-1,4,2,2,2,2,4,-2,0,488
0,4,2,2,2,2,4,-2,0,489
0,4,2,2,2,2,4,-2,0,490
0,4,2,2,2,2,4,-2,0,491
0,5,2,2,2,2,4,-2,0,492
0,5,2,2,2,2,4,-2,0,493
0,5,2,2,2,2,4,-2,0,494
0,5,2,2,2,2,4,-2,0,495
0,5,2,2,2,2,4,-2,0,496
0,5,2,2,2,2,4,-2,0,497
0,5,2,2,2,3,4,-2,0,498
0,5,2,3,3,3,4,-2,0,499
0,5,2,3,3,3,4,-2,0,500
0,5,2,3,3,3,4,-2,0,501
0,5,2,3,3,3,4,-2,0,502
0,5,2,3,3,3,4,-2,0,503
0,5,2,3,3,3,4,-2,0,504
1,4,2,3,2,3,4,-2,0,505
1,4,2,3,2,3,3,-2,0,506
1,4,2,2,1,2,3,-2,0,507
1,3,2,2,1,2,3,-2,0,508
1,3,2,2,0,2,3,-2,0,509
1,2,2,2,0,2,3,-2,0,510
1,2,2,2,0,2,3,-2,0,511
2,2,2,2,0,2,3,-2,0,512
2,2,2,2,0,3,4,-2,0,513
2,2,2,3,1,5,6,-1,0,514
3,3,2,4,3,7,8,0,0,515
5,5,2,5,6,10,11,1,0,516
7,7,2,7,9,14,15,3,0,517
9,10,3,10,14,18,20,6,0,518
12,15,5,13,19,24,25,10,0,519
16,20,7,17,26,31,32,14,0,520
21,26,9,22,33,38,39,19,0,521
26,34,12,27,42,46,46,24,0,522
32,42,15,33,50,54,54,31,0,523
39,51,18,40,59,63,63,37,0,524
46,61,21,47,69,73,72,44,0,525
54,71,25,54,78,82,81,51,0,526
62,82,29,62,88,91,90,59,0,527
70,93,33,69,97,100,99,67,0,528
78,104,36,77,106,108,107,74,0,529
86,114,40,84,114,116,114,81,0,530
94,124,43,90,121,123,121,88,0,531
100,133,46,96,127,129,127,94,0,532
107,142,49,102,132,134,133,99,0,533
112,149,51,106,137,138,137,104,0,534
116,155,53,110,140,141,140,107,0,535
120,159,54,113,143,144,143,110,0,536
122,163,55,114,144,145,144,112,0,537
124,165,55,115,145,146,145,113,0,538
124,165,54,115,145,146,145,112,0,539
123,164,54,113,144,145,144,111,0,540
121,162,52,111,143,143,142,109,0,541
118,158,50,108,140,140,139,106,0,542
114,153,48,104,137,136,136,102,0,543
109,147,45,99,133,132,131,97,0,544
104,140,42,93,128,126,126,92,0,545
97,131,38,86,122,120,120,86,0,546
90,122,35,79,115,112,113,79,0,547
82,112,31,72,108,104,105,72,0,548
74,101,27,64,99,96,96,65,0,549
66,90,24,57,91,87,88,57,0,550
58,79,20,49,82,77,78,50,0,551
49,68,17,42,73,68,69,43,0,552
42,58,13,34,63,59,60,36,0,553
34,47,10,28,54,50,50,30,0,554
28,39,8,22,46,42,43,24,0,555
23,31,5,17,38,34,34,18,0,556
17,23,4,12,31,27,27,13,0,557
13,17,2,9,24,21,20,8,0,558
9,11,2,6,18,15,14,5,0,559
6,7,1,3,13,11,10,2,0,560
4,4,0,2,9,8,6,0,0,561
2,1,-1,0,6,5,3,-2,0,562
1,0,-1,0,3,3,0,-3,0,563
1,-1,-1,0,1,2,0,-3,0,564
0,-1,-1,0,0,1,-1,-3,0,565
0,-1,-1,0,0,0,-1,-3,0,566
0,-1,-1,0,-1,0,-1,-2,0,567
0,-1,-1,0,-1,1,0,-1,0,568
0,0,-1,0,-1,1,0,-1,0,569
0,0,0,0,0,1,0,0,0,570
0,1,0,0,0,1,1,1,0,571
0,2,0,0,0,2,2,2,0,572
0,2,0,0,0,2,2,2,0,573
0,2,0,0,1,2,3,3,0,574
0,3,0,0,1,2,3,3,0,575
0,3,0,0,1,3,3,3,0,576
1,4,0,0,2,3,4,3,0,577
1,4,0,0,2,3,4,4,0,578
1,5,0,0,3,4,4,4,0,579
2,5,0,0,3,4,5,4,0,580
2,6,0,1,4,5,5,4,0,581
3,7,0,1,5,6,6,4,0,582
4,7,0,1,6,7,7,4,0,583
5,8,0,1,6,8,7,5,0,584
5,9,-1,1,6,8,8,5,0,585
6,9,-1,0,6,9,8,5,0,586
7,9,-2,0,5,8,8,5,0,587
7,9,-3,0,2,7,7,5,0,588
7,8,-4,-2,-1,4,6,3,0,589
6,7,-5,-4,-6,1,3,1,0,590
4,4,-6,-7,-12,-5,0,-2,0,591
2,0,-7,-10,-19,-11,-6,-6,0,592
-1,-5,-8,-13,-27,-20,-13,-12,0,593
-5,-11,-7,-15,-35,-28,-21,-18,0,594
-11,-19,-6,-17,-43,-38,-30,-26,0,595
-17,-27,-3,-18,-48,-46,-40,-34,0,596
